阿尔及利亚
阿富汗
阿根廷
阿曼苏丹国
埃及
埃塞俄比亚
爱尔兰
安哥拉
奥地利
澳大利亚
巴基斯坦
巴西
白俄罗斯
比利时
波兰
玻利维亚
博茨瓦纳
布基纳法索
德国
多哥
俄罗斯
厄立特里亚
法国
非洲
菲律宾
冈比亚
刚果
刚果金
哥伦比亚
荷兰
几内亚
加拿大
加纳共和国
柬埔寨
喀麦隆
卡塔尔
科摩罗
科特迪瓦
肯尼亚
老挝
黎巴嫩
利比里亚
利比亚
卢旺达
马达加斯加
马拉维共和国
马来西亚
马里共和国
毛里求斯
美国
孟加拉国
缅甸
摩洛哥
莫桑比克
墨西哥
纳米比亚
南非
尼泊尔
尼日尔共和国
尼日利亚
葡萄牙
日本
瑞典
塞拉利昂
塞内加尔
沙特阿拉伯
斯里兰卡
苏丹
苏里南
泰国
坦桑尼亚
突尼斯
土耳其
瓦努阿图
委内瑞拉
乌干达
乌克兰
乌兹别克斯坦
西非共同体
新加坡
新西兰
牙买加
也门
伊朗
意大利
印度
印度尼西亚
英国
越南
赞比亚
智利
中国
